Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
326,Caris LeVert,SG,27,IND,39,39,1214,278,622,0.447,61,189,0.323,217,433,0.501,0.496,111,146,0.76,30,120,150,173,35,18,75,91,728
326,Caris LeVert,SG,27,CLE,15,6,435,83,193,0.43,19,55,0.345,64,138,0.464,0.479,22,31,0.71,12,41,53,54,13,4,26,30,207
327,Kira Lewis Jr.,PG,20,NOP,24,0,341,59,146,0.404,13,58,0.224,46,88,0.523,0.449,10,12,0.833,9,30,39,49,11,1,26,17,141
328,Scottie Lewis,SG,21,CHO,2,0,7,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,1,1,0,0,0,1
329,Damian Lillard,PG,31,POR,29,29,1056,222,552,0.402,92,284,0.324,130,268,0.485,0.486,159,181,0.878,13,107,120,212,17,11,83,37,695
330,Nassir Little,SF,21,POR,42,23,1088,145,315,0.46,51,154,0.331,94,161,0.584,0.541,69,94,0.734,58,178,236,54,25,36,40,82,410
331,Isaiah Livers,SF,23,DET,15,1,280,31,68,0.456,22,51,0.431,9,17,0.529,0.618,5,6,0.833,11,34,45,16,8,6,11,31,89
332,Kevon Looney,C,25,GSW,78,76,1675,201,352,0.571,0,1,0,201,351,0.573,0.571,75,125,0.6,203,375,578,159,48,52,65,210,477
333,Brook Lopez,C,33,MIL,9,7,202,32,77,0.416,12,37,0.324,20,40,0.5,0.494,11,14,0.786,12,20,32,6,4,10,10,27,87
334,Robin Lopez,C,33,ORL,32,9,544,102,181,0.564,2,5,0.4,100,176,0.568,0.569,25,45,0.556,64,51,115,48,1,18,42,61,231
335,Didi Louzada,SG-SF,22,TOT,4,0,35,3,11,0.273,2,9,0.222,1,2,0.5,0.364,0,0,,4,1,5,3,1,1,0,3,8
335,Didi Louzada,SF,22,NOP,2,0,7,0,3,0,0,3,0,0,0,,0,0,0,,2,0,2,1,0,0,0,0,0
335,Didi Louzada,SG,22,POR,2,0,28,3,8,0.375,2,6,0.333,1,2,0.5,0.5,0,0,,2,1,3,2,1,1,0,3,8
336,Kevin Love,PF,33,CLE,70,4,1583,303,716,0.423,171,446,0.383,132,270,0.489,0.543,159,188,0.846,79,420,499,152,25,17,92,95,936
337,Kyle Lowry,PG,35,MIA,61,61,2067,265,609,0.435,140,375,0.373,125,234,0.534,0.55,142,166,0.855,31,240,271,461,64,17,163,168,812
338,Timothé Luwawu-Cabarrot,SF,26,ATL,49,17,641,71,178,0.399,43,116,0.371,28,62,0.452,0.52,35,40,0.875,15,62,77,37,18,6,19,71,220
339,Trey Lyles,PF,26,TOT,71,19,1458,247,531,0.465,65,200,0.325,182,331,0.55,0.526,188,234,0.803,87,272,359,86,27,32,69,117,747
339,Trey Lyles,PF,26,DET,51,3,990,175,384,0.456,44,146,0.301,131,238,0.55,0.513,138,176,0.784,60,184,244,58,22,26,54,91,532
339,Trey Lyles,PF,26,SAC,20,16,468,72,147,0.49,21,54,0.389,51,93,0.548,0.561,50,58,0.862,27,88,115,28,5,6,15,26,215
340,Théo Maledon,PG,20,OKC,50,6,881,116,308,0.377,43,147,0.293,73,161,0.453,0.446,77,98,0.786,20,107,127,106,30,11,63,64,352
341,Sandro Mamukelashvili,PF,22,MIL,38,2,354,45,94,0.479,19,45,0.422,26,49,0.531,0.58,12,16,0.75,32,37,69,18,7,9,11,25,121
342,Terance Mann,SF,25,LAC,77,32,2222,318,658,0.483,72,200,0.36,246,458,0.537,0.538,124,159,0.78,101,311,412,199,55,18,80,172,832
343,Tre Mann,PG,20,OKC,60,26,1367,231,588,0.393,98,272,0.36,133,316,0.421,0.476,65,82,0.793,25,146,171,91,47,12,71,102,625
344,Boban Marjanović,C,33,DAL,21,0,108,37,61,0.607,1,3,0.333,36,58,0.621,0.615,11,20,0.55,7,24,31,2,0,3,11,20,86
345,Lauri Markkanen,PF,24,CLE,57,57,1758,286,650,0.44,120,349,0.344,166,301,0.551,0.532,127,148,0.858,58,265,323,78,45,28,51,116,819
346,Naji Marshall,SF,24,NOP,50,3,646,96,238,0.403,21,99,0.212,75,139,0.54,0.447,63,81,0.778,34,97,131,51,31,6,38,60,276
347,Caleb Martin,SF,26,MIA,57,10,1293,199,389,0.512,60,145,0.414,139,244,0.57,0.589,69,90,0.767,69,151,220,62,56,26,47,99,527
348,Cody Martin,SF,26,CHO,67,11,1764,192,405,0.474,58,151,0.384,134,254,0.528,0.546,72,104,0.692,77,194,271,170,82,30,59,113,514
349,Kelan Martin,SF,26,TOT,30,1,450,70,171,0.409,22,75,0.293,48,96,0.5,0.474,9,13,0.692,17,38,55,21,13,9,14,36,171
349,Kelan Martin,SF,26,IND,27,1,444,70,168,0.417,22,74,0.297,48,94,0.511,0.482,9,13,0.692,16,37,53,21,13,9,14,36,171
349,Kelan Martin,SF,26,BOS,3,0,6,0,3,0,0,1,0,0,2,0,0,0,0,,1,1,2,0,0,0,0,0,0
350,Kenyon Martin Jr.,SF,21,HOU,75,2,1569,266,498,0.534,56,154,0.364,210,344,0.61,0.59,75,118,0.636,79,211,290,96,33,37,58,103,663
351,Garrison Mathews,SG,25,HOU,61,29,1604,175,435,0.402,132,363,0.364,43,72,0.597,0.554,134,167,0.802,31,143,174,60,54,21,38,159,616
352,Dakota Mathias,SG,26,MEM,6,0,16,2,6,0.333,2,6,0.333,0,0,,0.5,0,0,,0,2,2,1,1,0,0,1,6
353,Wesley Matthews,SG,35,MIL,45,10,913,78,202,0.386,49,145,0.338,29,57,0.509,0.507,15,21,0.714,29,58,87,33,22,7,16,79,220
354,Tyrese Maxey,PG,21,PHI,70,69,2492,447,931,0.48,116,279,0.416,331,652,0.508,0.542,195,227,0.859,26,205,231,299,50,30,78,145,1205
355,Skylar Mays,SG,24,ATL,26,5,216,32,64,0.5,8,25,0.32,24,39,0.615,0.563,8,9,0.889,5,20,25,17,7,0,10,9,80
