Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
356,Miles McBride,PG,21,NYK,37,2,336,27,95,0.284,13,58,0.224,14,37,0.378,0.353,8,12,0.667,4,36,40,40,13,1,5,42,75
357,Mac McClung,PG,23,CHI,1,0,3,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,1,0,2
358,CJ McCollum,SG,30,TOT,57,57,2014,504,1089,0.463,171,441,0.388,333,648,0.514,0.541,110,155,0.71,51,205,256,294,60,22,119,114,1289
358,CJ McCollum,SG,30,POR,36,36,1267,290,665,0.436,111,289,0.384,179,376,0.476,0.52,48,68,0.706,34,119,153,163,36,21,70,77,739
358,CJ McCollum,SG,30,NOP,21,21,747,214,424,0.505,60,152,0.395,154,272,0.566,0.575,62,87,0.713,17,86,103,131,24,1,49,37,550
359,T.J. McConnell,PG,29,IND,24,6,581,91,181,0.503,7,25,0.28,84,156,0.538,0.522,12,15,0.8,19,61,80,115,25,9,28,43,201
360,Jaden McDaniels,PF,21,MIN,67,31,1749,248,540,0.459,77,246,0.313,171,294,0.582,0.531,56,70,0.8,76,211,287,77,51,52,73,220,629
361,Jalen McDaniels,SF,24,CHO,51,2,822,106,228,0.465,35,98,0.357,71,130,0.546,0.542,49,68,0.721,34,121,155,49,22,18,35,88,296
362,Doug McDermott,PF,30,SAS,51,51,1223,215,465,0.462,108,256,0.422,107,209,0.512,0.578,40,51,0.784,18,97,115,64,13,6,43,79,578
363,JaVale McGee,C,34,PHO,69,14,1078,271,425,0.638,2,8,0.25,269,417,0.645,0.64,96,135,0.711,150,308,458,39,20,77,89,170,640
364,Cameron McGriff,SF,24,POR,3,0,46,5,14,0.357,2,6,0.333,3,8,0.375,0.429,2,2,1,6,9,15,3,0,1,0,7,14
365,Rodney McGruder,SG,30,DET,48,2,680,82,196,0.418,51,132,0.386,31,64,0.484,0.548,14,20,0.7,29,69,98,43,19,5,21,50,229
366,Alfonzo McKinnie,SF,29,CHI,17,3,206,24,61,0.393,9,27,0.333,15,34,0.441,0.467,2,8,0.25,13,20,33,5,2,3,7,26,59
367,JaQuori McLaughlin,PG,24,DAL,4,0,11,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,2,0,0,0,1,0
368,Jordan McLaughlin,PG,25,MIN,58,3,827,80,187,0.428,22,76,0.289,58,111,0.523,0.487,27,37,0.73,21,67,88,169,53,8,34,47,209
369,Ben McLemore,SG,28,POR,59,6,1153,192,490,0.392,136,380,0.358,56,110,0.509,0.531,63,76,0.829,12,81,93,49,31,10,47,94,583
370,De'Anthony Melton,SG,23,MEM,69,14,1557,266,656,0.405,131,349,0.375,135,307,0.44,0.505,80,108,0.741,60,250,310,179,102,35,105,120,743
371,Sam Merrill,SG,25,MEM,6,0,58,8,24,0.333,7,23,0.304,1,1,1,0.479,2,4,0.5,1,6,7,4,0,0,2,3,25
372,Chimezie Metu,C,24,SAC,56,20,1178,189,422,0.448,53,177,0.299,136,245,0.555,0.511,66,85,0.776,33,277,310,57,45,30,57,87,497
373,Khris Middleton,SF,30,MIL,62,62,2009,426,959,0.444,153,405,0.378,273,554,0.493,0.524,253,284,0.891,40,299,339,334,69,17,180,148,1258
