Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
101,Zylan Cheatham,SF,26,UTA,1,5,-23.8,0,0.667,0,0,0,0,0,0,0,0,26.2,,-0.1,0,-0.1,-0.618,,-19.2,-11.4,-30.6,0
102,Chris Chiozza,PG,26,GSW,34,372,4.5,0.407,0.654,0.037,2.7,7.7,5.3,22.6,1.7,0,28,13.4,,-0.5,0.4,0,-0.006,,-5.7,-0.3,-6.1,-0.4
103,Marquese Chriss,PF,24,DAL,31,310,14.5,0.508,0.198,0.207,10.3,25.2,17.7,8.7,2,3.5,11.4,21.6,,0,0.6,0.6,0.095,,-4,0.5,-3.6,-0.1
104,Josh Christopher,SG,20,HOU,70,1224,11.9,0.526,0.376,0.214,4.5,10.7,7.6,17.7,2.3,0.8,17.4,21,,-0.4,0.6,0.2,0.006,,-2.3,-1.4,-3.7,-0.5
105,Gary Clark,PF,27,NOP,34,331,10.7,0.528,0.829,0.105,5.6,21.3,13.3,5.6,1.6,2,8.1,11.3,,0.2,0.4,0.6,0.089,,-0.4,0.2,-0.1,0.2
106,Brandon Clarke,PF,25,MEM,61,1195,23.6,0.655,0.052,0.301,11.3,18,14.6,10.3,1.4,5.1,6.6,17.7,,4.2,1.9,6,0.242,,3,1,4.1,1.8
107,Jordan Clarkson,SG,29,UTA,75,2030,14.8,0.53,0.533,0.155,3.5,9.9,6.8,13.8,1.5,0.7,9.6,27.1,,1.3,1.7,3.1,0.072,,0.4,-1.4,-1,0.5
108,Nic Claxton,C,22,BRK,43,885,18.9,0.67,0,0.365,10.4,18.6,14.6,6.3,1.3,4.9,10.8,15.3,,2.1,1,3.2,0.171,,0.5,0.1,0.6,0.6
109,Amir Coffey,SG,24,LAC,65,1509,12.7,0.593,0.546,0.256,1.7,10.9,6.4,11.2,1.2,0.8,7.9,15.5,,2.1,1.3,3.4,0.109,,-0.6,-0.1,-0.6,0.5
110,John Collins,PF,24,ATL,54,1663,18.7,0.61,0.273,0.262,6.2,21.5,13.9,9,1,3,7.7,20.4,,3.7,1.4,5.1,0.146,,1.5,-0.1,1.5,1.5
111,Zach Collins,PF,24,SAS,23,393,15.2,0.569,0.283,0.375,10.3,21,15.6,16.5,1.1,3.8,20,18.7,,0.3,0.5,0.8,0.099,,-1.9,0.5,-1.3,0.1
112,Darren Collison,PG,34,LAL,3,37,-0.2,0.286,0.429,0,0,11.6,5.8,6.8,1.3,0,12.5,9.3,,-0.1,0,-0.1,-0.07,,-10,-0.9,-11,-0.1
113,Mike Conley,PG,34,UTA,69,1965,17.5,0.576,0.528,0.204,2.7,8.7,5.8,27.4,2.3,0.9,12.3,20.8,,4.5,2,6.5,0.159,,2.6,0.5,3.1,2.5
114,Pat Connaughton,SG,29,MIL,61,1607,13.5,0.623,0.745,0.108,2.8,14.1,8.6,6.7,1.6,0.8,6.3,14,,2.7,1.5,4.2,0.127,,0.8,0.3,1.1,1.3
115,Tyler Cook,PF,24,CHI,19,196,13,0.645,0,0.861,9.2,20.4,14.9,2,1,1.8,12.4,12.8,,0.3,0.2,0.5,0.129,,-2.9,-1.1,-3.9,-0.1
116,Sharife Cooper,PG,20,ATL,11,35,-6,0.25,0.429,0,0,15.5,7.8,18.4,0,0,26.3,23.7,,-0.2,0,-0.2,-0.33,,-11.8,-5.4,-17.2,-0.1
117,Petr Cornelie,PF,26,DEN,13,38,9.7,0.418,0.533,0.267,21.3,19.9,20.6,10.8,1.3,2.4,19.3,24,,-0.1,0,0,-0.013,,-6.1,-2.8,-8.8,-0.1
118,DeMarcus Cousins,C,31,TOT,44,668,17.8,0.564,0.38,0.373,11.3,29.6,20.7,14.5,2.5,2.5,18.4,27.9,,0.2,1.2,1.4,0.099,,-2,0.3,-1.8,0
118,DeMarcus Cousins,C,31,MIL,17,287,19.1,0.572,0.407,0.322,9.1,26.7,18.1,9.3,2.7,2.7,10.6,22.4,,0.5,0.5,1,0.164,,-0.3,0.9,0.6,0.2
118,DeMarcus Cousins,C,31,DEN,27,381,16.8,0.559,0.363,0.407,13,31.8,22.7,18.3,2.3,2.4,22.7,32,,-0.3,0.7,0.4,0.049,,-3.4,-0.2,-3.5,-0.1
119,Robert Covington,PF-SF,31,TOT,67,1866,12.3,0.569,0.676,0.129,3.1,18.7,10.8,6.8,2.6,4.6,12.8,13.3,,0.7,2.2,3,0.077,,-1.6,1.7,0.1,1
119,Robert Covington,PF,31,POR,48,1431,10,0.519,0.685,0.107,3,18.5,10.5,6.6,2.5,4.3,14.2,12.4,,-0.2,1.4,1.2,0.039,,-2.8,1.6,-1.2,0.3
119,Robert Covington,SF,31,LAC,19,435,19.8,0.69,0.654,0.184,3.5,19.3,11.6,7.3,2.8,5.3,9.3,16.4,,1,0.8,1.8,0.2,,2.1,2.2,4.3,0.7
120,Torrey Craig,SF,31,TOT,73,1497,10.9,0.55,0.517,0.128,5.8,15.9,10.9,7.7,1.4,1.9,12.5,14.1,,0.9,1.3,2.2,0.069,,-1.8,-0.1,-1.9,0
120,Torrey Craig,SF,31,IND,51,1034,10.9,0.555,0.491,0.125,6.3,14.9,10.5,7.7,1.1,1.6,11.6,13.9,,0.8,0.5,1.3,0.059,,-1.5,-0.6,-2.2,-0.1
120,Torrey Craig,SF,31,PHO,22,463,10.9,0.54,0.576,0.136,4.8,18.2,11.7,7.7,1.9,2.7,14.2,14.4,,0.1,0.8,0.9,0.092,,-2.3,1.1,-1.3,0.1
121,Jae Crowder,PF,31,PHO,65,1837,11.4,0.548,0.671,0.169,1.8,17.7,10,8.1,2.4,1.4,8.9,14.6,,1,3.3,4.3,0.112,,-1.2,2.3,1.1,1.5
122,Jarrett Culver,SG,22,MEM,36,307,9.5,0.44,0.345,0.244,4.3,11.5,7.8,13.8,3,1.5,12,20,,-0.3,0.5,0.2,0.029,,-5.2,0.9,-4.3,-0.2
123,Jarron Cumberland,SG,24,POR,3,12,8.4,0.5,0.5,0,8.8,19,13.7,11.5,0,0,0,7.2,,0,0,0,0.08,,-4.3,-2.3,-6.7,0
124,Cade Cunningham,PG,20,DET,62,2011,13.3,0.506,0.356,0.156,2.9,16.1,9.2,28.9,1.8,1.8,17.4,27.4,,-2.1,1.9,-0.2,-0.005,,-1,-0.4,-1.4,0.3
125,Seth Curry,SG,31,TOT,62,2076,13.7,0.614,0.501,0.126,1.1,9.2,5.2,16.5,1.2,0.6,12.4,18.6,,2.6,1.5,4.1,0.094,,0.2,-0.9,-0.7,0.7
125,Seth Curry,SG,31,PHI,45,1566,13.4,0.603,0.473,0.138,1.2,9.4,5.4,17.9,1.1,0.6,13,18.5,,1.7,1.2,2.9,0.09,,-0.1,-0.9,-1.1,0.4
125,Seth Curry,SG,31,BRK,17,510,14.5,0.643,0.578,0.094,0.7,8.6,4.7,12.3,1.5,0.5,10.7,18.9,,0.8,0.3,1.1,0.106,,1.4,-0.9,0.5,0.3
126,Stephen Curry,PG,33,GSW,64,2211,21.5,0.601,0.613,0.243,1.7,14.4,8.3,30.6,1.9,1,13.2,30.8,,4.7,3.3,8,0.173,,5.4,0.3,5.7,4.3
127,Anthony Davis,C,28,LAL,38,1334,24,0.581,0.104,0.362,8.4,21.5,15,14.3,1.7,5.8,9.4,26.9,,2.6,1.9,4.4,0.159,,2.5,1.1,3.7,1.9
128,Ed Davis,C,32,CLE,29,194,9.6,0.632,0,0.875,8.2,27.9,18.2,4,0.8,4.1,18.4,6.2,,0.2,0.3,0.5,0.129,,-4.3,2.5,-1.8,0
129,Terence Davis,SG,24,SAC,30,536,14.6,0.543,0.558,0.165,2.2,17.1,9.5,11.8,2.2,1.8,10.3,25.5,,0,0.5,0.5,0.046,,-0.5,-0.4,-0.9,0.2
130,Gabriel Deck,PF,26,OKC,7,56,11.6,0.643,0.286,0,1.8,9.3,5.5,13.8,0.9,0,12.5,12.3,,0.1,0,0.1,0.082,,-1.2,-1.3,-2.5,0
131,Dewayne Dedmon,C,32,MIA,66,1050,16,0.633,0.16,0.34,11.5,29.4,20.6,6.6,1.1,4.1,17.2,17,,1.5,2,3.5,0.16,,-2.1,1,-1.1,0.2
132,Sam Dekker,PF,27,TOR,1,1,0,,,,0,0,0,0,0,0,,0,,0,0,0,0.003,,-6.1,-3.4,-9.5,0
133,Javin DeLaurier,C,23,MIL,1,3,15.7,,,,0,34.5,17.6,0,16,0,,0,,0,0,0,0.261,,-4.7,11.7,6.9,0
134,DeMar DeRozan,PF,32,CHI,73,2643,23.3,0.59,0.093,0.39,2.3,14,8.2,23.4,1.2,0.8,8.9,31.8,,7,1.8,8.9,0.161,,3.5,-0.9,2.7,3.1
135,Mamadi Diakite,PF,25,OKC,13,188,11.7,0.54,0.106,0.234,9.1,23.2,16.1,1.6,1.3,4.5,11.9,13.5,,0.1,0.3,0.3,0.082,,-5.9,0.9,-5,-0.1
136,Cheick Diallo,C,25,DET,3,31,12.4,0.517,0,0.75,13.3,29.4,20.9,0,1.6,0,8.6,16.1,,0,0,0.1,0.11,,-4.2,-3.3,-7.6,0
137,Hamidou Diallo,SG,23,DET,58,1269,15.8,0.541,0.177,0.266,5.6,18.7,11.8,9.8,2.7,1.2,9,21.8,,0.7,1.5,2.2,0.083,,-1.2,0.7,-0.5,0.5
138,Gorgui Dieng,C,32,ATL,43,370,17.6,0.634,0.6,0.236,9.5,26.1,17.9,12.8,1.5,3.1,14.1,16.7,,0.8,0.4,1.2,0.16,,1.6,0.8,2.4,0.4
139,Spencer Dinwiddie,PG,28,TOT,63,1902,14.9,0.537,0.448,0.342,2.5,13.1,7.9,25.7,1.1,0.5,10.8,21.4,,2.5,1.3,3.8,0.095,,0.6,-0.5,0.1,1
139,Spencer Dinwiddie,PG,28,WAS,44,1330,13.3,0.501,0.459,0.291,3,14,8.6,27.6,1,0.4,11.6,21,,1,0.7,1.7,0.061,,-0.2,-0.7,-0.9,0.4
139,Spencer Dinwiddie,PG,28,DAL,19,572,18.6,0.613,0.423,0.46,1.3,11.1,6.2,21.2,1.2,0.8,8.8,22.3,,1.5,0.6,2.1,0.174,,2.5,0.1,2.6,0.7
140,Donte DiVincenzo,SG,25,TOT,38,899,11.6,0.508,0.646,0.236,4.8,13.8,9.3,16.1,2.3,0.8,15.7,18.5,,0,0.8,0.8,0.044,,-1.6,-0.4,-2,0
140,Donte DiVincenzo,SG,25,MIL,17,341,8,0.47,0.627,0.229,5.7,12.7,9.3,11.4,1.6,0.8,17.7,19.8,,-0.4,0.3,-0.1,-0.008,,-3.8,-1.7,-5.5,-0.3
140,Donte DiVincenzo,SG,25,SAC,21,558,13.7,0.533,0.659,0.24,4.2,14.4,9.2,19,2.8,0.8,14.3,17.7,,0.4,0.5,0.9,0.075,,-0.3,0.4,0.1,0.3
141,Luka Dončić,PG,22,DAL,61,2169,24.8,0.569,0.401,0.335,2.7,25.9,14.2,45.2,1.6,1.4,15.2,37.1,,3.4,3.5,6.9,0.153,,6.4,1.8,8.2,5.6
142,Luguentz Dort,SF,22,OKC,51,1665,12.3,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1,9.8,23.3,,0.3,1.2,1.5,0.042,,-1.5,-0.8,-2.3,-0.1
143,Ayo Dosunmu,SG,22,CHI,73,1990,11,0.593,0.356,0.138,1.4,9.8,5.6,16.5,1.3,1.3,15.2,13.7,,1.7,1.3,3,0.073,,-1.9,0,-2,0
144,Damyean Dotson,SG,27,NYK,2,21,6.4,0.5,0.25,0,0,10.5,5.1,7,0,0,0,8.3,,0,0,0,0.041,,-3.7,-1.3,-5,0
145,Devon Dotson,PG,22,CHI,11,85,9.9,0.538,0.391,0.391,1.3,10.5,5.9,23.9,0.6,0,15.6,16.6,,0.1,0,0.1,0.051,,-3.4,-1.5,-4.9,-0.1
146,Sekou Doumbouya,PF,21,LAL,2,16,40.9,0.717,0.25,0.5,13.5,26.8,20.1,0,9,11.2,17,31.6,,0,0.1,0.1,0.302,,8.8,10,18.8,0.1
147,Jeff Dowtin,PG,24,TOT,9,108,6.8,0.353,0.346,0.077,7.9,9.8,8.9,12.7,2.2,0.9,15.7,12.8,,-0.1,0.1,0,-0.01,,-5.7,0.1,-5.6,-0.1
147,Jeff Dowtin,PG,24,GSW,4,28,9.6,0.5,0.167,0,4,22.7,13.6,14.6,0,3.4,14.3,10.9,,0,0,0.1,0.087,,-4.3,0.6,-3.6,0
147,Jeff Dowtin,PG,24,MIL,1,3,-12.9,0,1,0,0,0,0,0,0,0,0,14.2,,0,0,0,-0.345,,-15.7,-6.9,-22.6,0
147,Jeff Dowtin,PG,24,ORL,4,77,6.5,0.327,0.368,0.105,9.6,5.5,7.6,12.5,3.1,0,16.8,13.4,,-0.1,0.1,-0.1,-0.032,,-5.8,0.1,-5.7,-0.1
148,PJ Dozier,SG,25,DEN,18,340,8.7,0.463,0.485,0.131,4.8,15.6,10.3,11.3,1.6,1.6,11,15.2,,-0.1,0.4,0.3,0.039,,-2.9,0.9,-2,0
149,Goran Dragić,PG,35,TOT,21,498,10,0.474,0.417,0.219,2.9,11.3,7.1,22.9,1.9,0.7,17,17.2,,-0.1,0.4,0.3,0.033,,-2.8,-0.5,-3.3,-0.2
149,Goran Dragić,PG,35,TOR,5,90,16.2,0.521,0.412,0.294,2.3,15.2,8.4,14.4,2.8,1.1,2.5,18.8,,0.2,0.1,0.3,0.164,,-0.6,2.6,2,0.1
149,Goran Dragić,PG,35,BRK,16,408,8.6,0.46,0.419,0.197,3,10.5,6.8,24.8,1.7,0.7,20.6,16.9,,-0.2,0.3,0,0.005,,-3.3,-1.2,-4.5,-0.3
150,Andre Drummond,C,28,TOT,69,1355,20.7,0.569,0.008,0.407,17.6,34,25.9,14.2,2.7,4.2,19.1,18.8,,1.8,2.9,4.7,0.166,,-0.3,1.4,1.2,1.1
150,Andre Drummond,C,28,PHI,49,902,19.4,0.544,0.008,0.345,17,36.1,26.7,16.1,3.1,4.5,22.4,17.6,,0.7,2.2,2.9,0.155,,-1.2,2.4,1.3,0.7
150,Andre Drummond,C,28,BRK,20,453,23.1,0.604,0.006,0.5,18.6,29.7,24.3,10.4,2,3.6,13.9,21.3,,1,0.7,1.8,0.189,,1.5,-0.6,1,0.3
151,Chris Duarte,SG,24,IND,55,1541,12.4,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.2,,0.3,0.8,1,0.032,,-1.1,-1.1,-2.2,-0.1
152,David Duke Jr.,PG,22,BRK,21,340,10.1,0.444,0.343,0.194,9.8,11.6,10.7,6.6,2,1.8,7.1,16,,0,0.3,0.3,0.047,,-2.9,-0.9,-3.9,-0.2
153,Kris Dunn,PG,27,POR,11,259,15.6,0.545,0.086,0.173,2,12.8,7.2,34.8,3.8,1.1,20.2,18.2,,0.2,0.2,0.4,0.083,,-3,0,-2.9,-0.1
154,Kevin Durant,PF,33,BRK,51,1886,26,0.637,0.264,0.355,1.5,19.6,10.8,28.6,1.2,2.2,12.5,31.5,,6,1.8,7.8,0.199,,6.6,0.7,7.3,4.4
155,Jaime Echenique,C,24,WAS,1,3,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.01,,-5.4,-3,-8.4,0
156,Anthony Edwards,SG,20,MIN,68,2341,16,0.555,0.483,0.22,2.6,12.5,7.5,17.1,2.1,1.9,12.5,26.2,,1.4,2.4,3.8,0.078,,1.4,-0.3,1.1,1.8
157,Kessler Edwards,SF,21,BRK,44,882,8.4,0.525,0.521,0.068,4.8,13.9,9.4,4,1.5,2,13.8,13.8,,-0.2,0.8,0.6,0.031,,-3,-0.8,-3.8,-0.4
158,Rob Edwards,SG,25,OKC,2,11,-0.8,0.375,1,0,0,28.3,14,0,0,0,20,19.6,,-0.1,0,0,-0.179,,-8.3,-2.9,-11.2,0
159,CJ Elleby,SF,21,POR,53,1026,9,0.476,0.399,0.278,6.4,16,11,10.7,1.5,1.5,14,15,,-0.2,0.4,0.3,0.013,,-3.9,-1.5,-5.4,-0.9
160,Wayne Ellington,SG,34,LAL,40,742,9.8,0.588,0.897,0.023,1.5,8.4,4.9,5.3,1.5,0.5,6.9,13.4,,0.6,0.4,1,0.062,,-0.8,-0.4,-1.2,0.1
161,Joel Embiid,C,27,PHI,64,2146,31,0.612,0.19,0.602,7.1,30.7,19.1,24.2,1.7,3.8,11.2,37,,7.3,3.9,11.2,0.251,,7.2,2.1,9.3,6.1
162,James Ennis III,SF,31,TOT,7,56,17.8,0.553,0.333,0.208,9.9,13.2,11.6,7.5,1.7,3.1,7.1,22,,0.1,0.1,0.1,0.112,,-0.1,-1,-1.1,0
162,James Ennis III,SF,31,BRK,2,14,14.7,0.357,0.286,0,15.9,22.9,19.4,0,3.5,6.4,0,21.5,,0,0,0,0.032,,-0.5,-0.6,-1.1,0
162,James Ennis III,SF,31,LAC,2,28,26.4,0.784,0.364,0.364,7.8,11.1,9.5,0,1.8,3.1,7.3,21.6,,0.1,0,0.2,0.275,,3.7,0.2,3.9,0
162,James Ennis III,SF,31,DEN,3,14,3.7,0.311,0.333,0.167,8.2,7.7,8,29.9,0,0,13.4,23.4,,0,0,0,-0.133,,-7.2,-4,-11.2,0
163,Drew Eubanks,C,24,TOT,67,1121,18.1,0.633,0.058,0.367,11.5,22.4,16.8,10.8,1.1,2.8,16.1,17.2,,2.1,1,3.1,0.134,,-0.4,-0.8,-1.2,0.2
163,Drew Eubanks,C,24,SAS,49,595,16,0.588,0.05,0.497,11.1,23.5,17.3,11.1,1,4.2,19.2,17,,0.6,0.8,1.4,0.113,,-1.9,0.6,-1.3,0.1
163,Drew Eubanks,C,24,POR,18,526,20.4,0.68,0.065,0.244,11.9,21.2,16.4,10.4,1.2,1.3,12.7,17.5,,1.5,0.3,1.7,0.157,,1.4,-2.4,-1,0.1
164,Tacko Fall,C,26,CLE,11,59,11.3,0.398,0,0.583,13.4,29.3,21.5,4.6,0,9.1,16.6,13.5,,-0.1,0.1,0.1,0.045,,-4.2,0.8,-3.4,0
165,Derrick Favors,C,30,OKC,39,653,13.6,0.534,0.088,0.137,9,20,14.4,5.9,1.3,1.7,4.5,13.3,,0.8,0.7,1.5,0.108,,-2.3,0.2,-2.1,0
166,Bruno Fernando,C,23,TOT,30,152,21.2,0.671,0.036,0.436,13,26.6,19.8,7.6,0.3,6.5,17.6,22.4,,0.2,0.2,0.4,0.141,,-0.4,0.2,-0.2,0.1
166,Bruno Fernando,C,23,BOS,20,58,12.7,0.586,0.071,0.357,13.3,14.6,14,9.7,0,4.7,23.6,16.1,,0,0.1,0.1,0.101,,-3.2,0.3,-2.9,0
166,Bruno Fernando,C,23,HOU,10,94,26.5,0.699,0.024,0.463,12.8,34,23.3,6.3,0.5,7.6,15.4,26.3,,0.2,0.1,0.3,0.166,,1.3,0.1,1.5,0.1
167,Dorian Finney-Smith,PF,28,DAL,76,2516,12.1,0.591,0.622,0.122,5.2,10.7,7.9,8,1.6,1.3,10.2,13.9,,2.9,3,5.8,0.111,,-0.2,0.6,0.4,1.5
168,Malik Fitts,PF,24,TOT,12,46,-0.3,0.346,0.615,0,0,30,15.5,0,0,0,13.3,14.3,,-0.1,0.1,-0.1,-0.086,,-7.1,-2.4,-9.5,-0.1
168,Malik Fitts,PF,24,UTA,7,35,-1.6,0.333,0.444,0,0,30.4,15.7,0,0,0,18.2,13.7,,-0.1,0,-0.1,-0.108,,-7.9,-2,-9.9,-0.1
168,Malik Fitts,PF,24,BOS,5,11,3.8,0.375,1,0,0,28.8,14.7,0,0,0,0,16,,0,0,0,-0.016,,-4.6,-3.8,-8.4,0
169,Malachi Flynn,PG,23,TOR,40,479,12.5,0.503,0.5,0.142,1.9,11.4,6.4,18.8,1.9,0.8,6,16.4,,0.6,0.5,1.1,0.106,,-1.4,0.5,-0.9,0.1
170,Bryn Forbes,SG,28,TOT,73,1243,11.4,0.571,0.543,0.153,0.9,7,4,8.4,0.9,0.3,9,21.2,,0.7,0.6,1.3,0.05,,-0.8,-2.2,-3,-0.3
170,Bryn Forbes,SG,28,SAS,40,676,12.4,0.572,0.51,0.166,0.6,9.3,4.9,8.5,1.2,0.4,9.4,21.8,,0.4,0.4,0.8,0.053,,-0.3,-1.4,-1.7,0
170,Bryn Forbes,SG,28,DEN,33,567,10.2,0.569,0.586,0.137,1.2,4.4,2.9,8.2,0.6,0.3,8.4,20.4,,0.3,0.2,0.5,0.046,,-1.4,-3.1,-4.5,-0.3
171,Aleem Ford,SF,24,ORL,5,74,0.5,0.35,0.75,0,2.9,18.6,10.7,3.8,0.7,0,16.7,14,,-0.2,0.1,-0.2,-0.102,,-9.1,-2.2,-11.3,-0.2
172,Trent Forrest,PG,23,UTA,59,753,10.9,0.548,0.176,0.314,3.5,10.6,7.1,18.5,2,0.6,20.9,12.8,,0.5,0.7,1.3,0.082,,-2.3,1.2,-1.1,0.2
173,Evan Fournier,SG,29,NYK,76,2254,12.6,0.56,0.637,0.12,1.5,8,4.7,11.7,1.6,0.8,9.6,21,,1.6,1.9,3.5,0.074,,-0.1,-0.5,-0.7,0.7
174,De'Aaron Fox,PG,24,SAC,59,2083,17.5,0.549,0.228,0.319,1.3,10.9,6,26.7,1.6,1,11.9,29.1,,1.7,1,2.7,0.061,,0.6,-1.3,-0.6,0.7
175,Tim Frazier,PG,31,TOT,12,208,3.3,0.398,0.378,0.2,2.5,7.1,4.8,22.5,0.7,0.4,23.5,13.3,,-0.3,0.1,-0.2,-0.045,,-6.8,-1.8,-8.6,-0.3
175,Tim Frazier,PG,31,ORL,10,200,3.9,0.394,0.395,0.209,2.6,7.4,5,22.7,0.7,0.5,21.7,13,,-0.2,0.1,-0.1,-0.036,,-6.4,-1.7,-8,-0.3
175,Tim Frazier,PG,31,CLE,2,8,-10.3,0.5,0,0,0,0,0,17.9,0,0,50,22.1,,0,0,0,-0.281,,-17.8,-5.8,-23.5,0
176,Enes Freedom,C,29,BOS,35,411,15.1,0.585,0.052,0.289,16.4,25.5,21,2.8,0.6,3.1,15.5,13.9,,0.6,0.7,1.4,0.16,,-1.2,-0.3,-1.5,0.1
177,Markelle Fultz,PG,23,ORL,14,261,18.1,0.506,0.083,0.212,1.6,13.4,7.5,45,3.2,1.8,16.2,28.6,,-0.1,0.4,0.3,0.05,,0.2,1.4,1.6,0.2
178,Wenyen Gabriel,PF,24,TOT,21,258,11.7,0.517,0.313,0.349,13.4,18.1,15.8,4.9,0.9,2,11.1,18,,0.2,0.2,0.4,0.076,,-4.3,-2.4,-6.7,-0.3
178,Wenyen Gabriel,PF,24,BRK,1,1,11.8,,,,0,100,54.4,0,0,0,,0,,0,0,0,0.166,,-1.9,0.2,-1.7,0
178,Wenyen Gabriel,PF,24,LAC,6,46,8.3,0.474,0.385,0.308,11.9,20.3,16.2,6.1,1.1,3.7,16.9,17,,0,0.1,0,0.038,,-6.6,-0.9,-7.6,-0.1
178,Wenyen Gabriel,PF,24,LAL,14,211,12.4,0.525,0.3,0.357,13.8,17.3,15.5,4.7,0.9,1.7,10,18.4,,0.2,0.2,0.4,0.084,,-3.8,-2.8,-6.6,-0.3
179,Daniel Gafford,C,23,WAS,67,1336,21.6,0.705,0.003,0.356,12.4,19.2,15.9,7.5,1,5.9,12.7,16.5,,3.9,1.6,5.5,0.198,,1,0.5,1.5,1.2
180,Danilo Gallinari,PF,33,ATL,63,1573,14.1,0.572,0.492,0.277,2.2,17.9,10.2,8.8,0.8,0.6,5.2,18.2,,2.6,0.8,3.4,0.102,,0.8,-1.2,-0.4,0.6
181,Langston Galloway,SG,30,TOT,7,107,0.7,0.269,0.615,0,3.1,14.7,9,13.7,0.4,0,18.8,12.8,,-0.3,0.1,-0.2,-0.101,,-8,-1.8,-9.8,-0.2
181,Langston Galloway,SG,30,BRK,4,58,1.9,0.462,0.615,0,1.9,12.9,7.5,11,0,0,27.8,13.4,,-0.1,0,-0.1,-0.074,,-7.6,-2.9,-10.5,-0.1
181,Langston Galloway,SG,30,MIL,3,49,-0.6,0.077,0.615,0,4.4,16.9,10.8,17,1,0,7.1,12.2,,-0.2,0,-0.1,-0.132,,-8.5,-0.6,-9.1,-0.1
182,Darius Garland,PG,22,CLE,64,2288,18.8,0.576,0.393,0.205,1.8,8.3,5.1,40.6,1.8,0.3,16.9,27.9,,3.4,2.4,5.8,0.122,,3.3,-0.9,2.5,2.6
183,Marcus Garrett,SG,23,MIA,12,128,4.7,0.28,0.19,0.238,8.1,12.2,10.2,7.1,2,2.5,7.9,8.8,,-0.1,0.2,0.1,0.033,,-6.4,1,-5.4,-0.1
184,Usman Garuba,PF,19,HOU,20,183,12,0.46,0.486,0.2,8.9,28.3,18.6,8.8,2.1,4.4,11.6,10,,0.1,0.2,0.3,0.08,,-2.1,0.7,-1.4,0
185,Luka Garza,C,23,DET,31,358,15.1,0.542,0.326,0.426,14.7,12.4,13.6,7.1,1.2,1.3,10,20.4,,0.5,0.2,0.7,0.095,,-0.9,-1.8,-2.7,-0.1
186,Rudy Gay,PF,35,UTA,52,981,13,0.537,0.54,0.211,6.3,19,12.8,7.5,1.3,1.4,10.2,19.6,,0.8,1.1,1.9,0.092,,-0.7,-0.5,-1.3,0.2
187,Paul George,SF,31,LAC,28,987,18.1,0.532,0.394,0.227,1.2,18.9,10.3,27.1,3,1,15,34.4,,-0.8,1.6,0.8,0.04,,1.3,1.6,3,1.2
188,Taj Gibson,C,36,NYK,48,875,11.8,0.615,0.23,0.324,9.5,16.6,13,4.6,1.1,4.2,12.4,9.7,,1.3,1.1,2.4,0.132,,-3,0.8,-2.2,0
189,Josh Giddey,SG,19,OKC,54,1700,13.3,0.478,0.318,0.118,5.8,19.7,12.7,32.4,1.5,1.1,19.5,22.2,,-1.3,1.8,0.5,0.013,,-1.2,0.3,-1,0.4
190,Shai Gilgeous-Alexander,PG,23,OKC,56,1942,21,0.557,0.282,0.385,1.9,12.9,7.3,31.2,1.8,2.2,11.1,30.8,,2.8,1.9,4.7,0.116,,2.9,0.5,3.4,2.7
191,Anthony Gill,PF,29,WAS,40,390,15.8,0.731,0.244,0.512,7.8,12.5,10.2,8.1,0.5,2.4,11.7,13.6,,1.1,0.2,1.3,0.164,,-0.2,-0.9,-1.1,0.1
192,Freddie Gillespie,PF,24,ORL,9,119,9.5,0.419,0.045,0.318,11.5,20.5,16,5.9,1.2,6.9,16.6,10.9,,-0.1,0.2,0.1,0.05,,-5.5,1,-4.6,-0.1
193,Rudy Gobert,C,29,UTA,62,1997,24.6,0.73,0.008,0.824,12.9,36.5,25.1,5,1.1,5.8,14.4,16.6,,6.9,4,10.8,0.261,,2.9,1.7,4.5,3.3
194,Brandon Goodwin,PG,26,CLE,34,492,12.5,0.507,0.362,0.25,3.2,11.6,7.5,26.4,2.5,0.2,16.8,18.2,,0.2,0.7,0.8,0.081,,-2.3,1.2,-1.1,0.1
195,Jordan Goodwin,SG,23,WAS,2,6,-20.5,0,0.333,0,0,18.1,9.2,0,0,0,0,22.2,,-0.1,0,-0.1,-0.53,,-24.6,-9.4,-34.1,0
196,Aaron Gordon,PF,26,DEN,72,2269,15.1,0.598,0.311,0.274,6.1,14,10.2,11.8,0.9,1.7,12.4,19.6,,3,1.9,4.9,0.104,,0.4,-1.1,-0.7,0.7
197,Eric Gordon,SG,33,HOU,57,1669,12.2,0.614,0.534,0.239,1,6.5,3.7,14.1,0.8,1,14.6,18.6,,1.5,0,1.4,0.041,,-0.1,-2.2,-2.3,-0.1
198,Devonte' Graham,PG,26,NOP,72,2088,12,0.511,0.69,0.168,1.9,7.5,4.7,20.9,1.6,0.6,10.6,19.6,,1.4,1.3,2.6,0.061,,0.2,-1.2,-1,0.5
