Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
24,Marvin Bagley III,PF,22,TOT,48,1146,15.8,0.551,0.217,0.226,9.7,22.7,16,5.2,0.9,1.4,7.4,19.8,,1.2,0.9,2,0.085,,-0.5,-1.8,-2.3,-0.1
24,Marvin Bagley III,PF,22,SAC,30,656,14.3,0.521,0.252,0.191,11,24.9,17.8,3.9,0.7,1.5,7.3,18.8,,0.5,0.4,0.9,0.068,,-1.1,-2.4,-3.5,-0.3
24,Marvin Bagley III,PF,22,DET,18,490,17.7,0.585,0.175,0.27,8,19.7,13.6,6.9,1.3,1.3,7.4,21.2,,0.7,0.4,1.1,0.108,,0.4,-1,-0.6,0.2
25,LaMelo Ball,PG,20,CHO,73,2364,19.6,0.55,0.449,0.195,4.6,17.3,10.9,35.6,2.4,1.2,14.9,28,,3.2,2.4,5.6,0.114,,3.2,0.2,3.4,3.2
26,Lonzo Ball,PG,24,CHI,35,1212,14.5,0.575,0.679,0.073,3.3,14.3,8.8,20.1,2.6,2.2,17.2,17.4,,0.8,1.4,2.3,0.089,,0.9,1.5,2.5,1.4
27,Mo Bamba,C,23,ORL,70,1796,16.2,0.577,0.449,0.116,8.5,24.6,16.5,7.4,1,5.9,10.8,17.2,,1.6,2.6,4.3,0.114,,-0.4,0.9,0.5,1.1
28,Desmond Bane,SF,23,MEM,75,2246,17.5,0.588,0.474,0.14,2.1,13.7,7.8,13.6,2,1.2,8.6,23.2,,4.4,2.8,7.1,0.153,,2.4,0.3,2.7,2.6
29,Dalano Banton,SF,22,TOR,64,696,10.1,0.463,0.252,0.218,5.6,14.1,9.6,19.8,2,1.4,19.3,16.9,,-0.4,0.8,0.4,0.031,,-3.4,0.4,-3,-0.2
30,Cat Barber,PG,27,ATL,3,13,-11.2,0,0,1,8.5,16.7,12.6,26.8,0,0,14.8,22.7,,-0.1,0,-0.1,-0.451,,-15.8,-7.7,-23.5,-0.1
31,Harrison Barnes,PF,29,SAC,75,2548,15.9,0.624,0.431,0.496,3.5,14.9,9.1,10.6,1,0.5,10.5,19,,5.1,1,6.1,0.115,,1.6,-1.3,0.3,1.5
32,Scottie Barnes,PF,20,TOR,72,2562,16.4,0.551,0.207,0.233,7.8,16,11.6,14.6,1.5,2.1,11.6,19,,3.7,2.9,6.6,0.123,,0.6,0.4,1,1.9
33,RJ Barrett,SF,21,NYK,69,2402,13.6,0.51,0.341,0.34,2.9,15.5,9.1,14.8,0.9,0.7,10,27.6,,0.1,2.1,2.2,0.043,,-0.3,-1.4,-1.7,0.1
